model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
spacy_large,1844-1871,false,281,465,exact,0.3824,0.6182,0.4500,Ibsen
spacy_large,1844-1871,false,281,465,partial,0.4450,0.7075,0.5219,Ibsen
spacy_large,1844-1871,false,281,465,type,0.4358,0.6688,0.5029,Ibsen
spacy_large,1871-1879,false,214,230,strict,0.6397,0.6931,0.6381,Ibsen
spacy_large,1871-1879,false,214,230,exact,0.7030,0.7506,0.6981,Ibsen
spacy_large,1871-1879,false,214,230,partial,0.7281,0.7768,0.7236,Ibsen
spacy_large,1871-1879,false,214,230,type,0.6817,0.7376,0.6813,Ibsen
spacy_large,1880-1889,false,208,228,strict,0.6167,0.6645,0.6317,Ibsen
spacy_large,1880-1889,false,208,228,exact,0.6750,0.7268,0.6916,Ibsen
spacy_large,1880-1889,false,208,228,partial,0.7205,0.7729,0.7367,Ibsen
spacy_large,1880-1889,false,208,228,type,0.7023,0.7501,0.7161,Ibsen
spacy_large,1890-1905,false,215,237,strict,0.5977,0.6708,0.6148,Ibsen
spacy_large,1890-1905,false,215,237,exact,0.6506,0.7235,0.6671,Ibsen
spacy_large,1890-1905,false,215,237,partial,0.7102,0.7950,0.7308,Ibsen
spacy_large,1890-1905,false,215,237,type,0.7056,0.7961,0.7284,Ibsen
spacy_trf,1844-1871,false,281,280,strict,0.7140,0.7451,0.7135,Ibsen
spacy_trf,1844-1871,false,281,280,exact,0.7455,0.7744,0.7438,Ibsen
spacy_trf,1844-1871,false,281,280,partial,0.7998,0.8283,0.7974,Ibsen
spacy_trf,1844-1871,false,281,280,type,0.8105,0.8426,0.8096,Ibsen
spacy_trf,1871-1879,false,214,237,strict,0.7750,0.8316,0.7957,Ibsen
spacy_trf,1871-1879,false,214,237,exact,0.8202,0.8910,0.8452,Ibsen
spacy_trf,1871-1879,false,214,237,partial,0.8411,0.9140,0.8670,Ibsen
spacy_trf,1871-1879,false,214,237,type,0.8137,0.8744,0.8363,Ibsen
spacy_trf,1880-1889,false,208,224,strict,0.7126,0.7393,0.7197,Ibsen
spacy_trf,1880-1889,false,208,224,exact,0.7406,0.7683,0.7481,Ibsen
spacy_trf,1880-1889,false,208,224,partial,0.7978,0.8270,0.8060,Ibsen
spacy_trf,1880-1889,false,208,224,type,0.8271,0.8568,0.8355,Ibsen
spacy_trf,1890-1905,false,215,217,strict,0.7513,0.7516,0.7496,Ibsen
spacy_trf,1890-1905,false,215,217,exact,0.7933,0.7917,0.7905,Ibsen
spacy_trf,1890-1905,false,215,217,partial,0.8551,0.8670,0.8568,Ibsen
spacy_trf,1890-1905,false,215,217,type,0.8700,0.8974,0.8774,Ibsen
dacy_large,x,true,,,strict,,,0.8439,Contemporary_danish
dacy_large,x,false,,,strict,,,0.8565,Contemporary_danish
dacy_medium,x,true,,,strict,,,0.7767,Contemporary_danish
dacy_medium,x,false,,,strict,,,0.7968,Contemporary_danish
dacy_small,x,true,,,strict,,,0.7418,Contemporary_danish
dacy_small,x,false,,,strict,,,0.7698,Contemporary_danish
spacy_small,x,false,,,strict,,,0.73,Contemporary_danish
spacy_medium,x,false,,,strict,,,0.81,Contemporary_danish
spacy_large,x,false,,,strict,,,0.81,Contemporary_danish
spacy_trf,x,false,,,strict,,,0.83,Contemporary_danish
